Model,Accuracy,Precision,Recall,F1-Score,AUC
Random Forest,0.8718181818181818,0.8716098273095141,0.8718181818181818,0.8695560804966211,0.9077307419885159
SVM,0.8227272727272728,0.8209632377172201,0.8227272727272728,0.8184203412491786,0.9121922033563747
Logistic Regression,0.8218181818181818,0.8222142313165034,0.8218181818181818,0.8158389795207271,0.9139199615995831
Decision Tree,0.7418181818181818,0.7469563518172032,0.7418181818181818,0.7437203281367238,0.838019693693166
KNN,0.5409090909090909,0.5250977117331338,0.5409090909090909,0.4979647975439191,0.7556695302709567
